Date,Holiday,Uptime,Peak_Period,Dispense
1-Jun-15,0,1,1,239025
2-Jun-15,0,0.46,1,58875
3-Jun-15,0,0.07,1,25959
4-Jun-15,0,0,1,967
5-Jun-15,0,0,1,305
6-Jun-15,0,0.38,1,78203
7-Jun-15,1,1,1,268949
8-Jun-15,0,1,1,277741
9-Jun-15,0,1,1,110206
10-Jun-15,0,1,0,203948
11-Jun-15,0,1,0,130439
12-Jun-15,0,0.35,0,66441
13-Jun-15,0,0.4,0,110997
14-Jun-15,1,0.3,0,3639
15-Jun-15,0,0.05,0,265
16-Jun-15,0,1,0,14920
17-Jun-15,0,0.12,0,119917
18-Jun-15,0,0,0,529
19-Jun-15,0,0.01,0,440
20-Jun-15,0,0.32,0,115459
21-Jun-15,1,1,0,210870
22-Jun-15,0,1,0,131114
23-Jun-15,0,0.96,0,119146
24-Jun-15,0,1,0,61336
25-Jun-15,0,0.96,0,119566
26-Jun-15,0,0.88,0,141371
27-Jun-15,0,1,0,76939
28-Jun-15,1,0.65,0,87635
29-Jun-15,0,0.14,1,3482
30-Jun-15,0,0.62,1,88272
1-Jul-15,0,0.97,1,317547
2-Jul-15,0,1,1,218914
3-Jul-15,0,1,1,232483
4-Jul-15,0,1,1,272621
5-Jul-15,1,1,1,308843
6-Jul-15,0,1,1,134702
7-Jul-15,0,0.97,1,11750
8-Jul-15,0,0.63,1,114189
9-Jul-15,0,0.48,1,186103
10-Jul-15,0,1,0,98874
11-Jul-15,0,1,0,254527
12-Jul-15,1,0.77,0,62274
13-Jul-15,0,0.37,0,23639
14-Jul-15,0,0.97,0,66749
15-Jul-15,0,1,0,144646
16-Jul-15,0,1,0,91833
17-Jul-15,0,1,0,191229
18-Jul-15,0,1,0,78621
19-Jul-15,1,1,0,89985
20-Jul-15,0,1,0,159497
21-Jul-15,0,1,0,245139
22-Jul-15,0,0.21,0,16537
23-Jul-15,0,1,0,150863
24-Jul-15,0,1,0,273327
25-Jul-15,0,0.97,0,128325
26-Jul-15,1,0.73,0,183899
27-Jul-15,0,0,0,510
28-Jul-15,0,0.5,0,95684
29-Jul-15,0,1,1,161239
30-Jul-15,0,1,1,80701
31-Jul-15,0,1,1,114500
1-Aug-15,0,0.97,1,165407
2-Aug-15,1,1,1,64313
3-Aug-15,0,1,1,136674
4-Aug-15,0,1,1,54276
5-Aug-15,0,1,1,146373
6-Aug-15,0,0.98,1,150462
7-Aug-15,0,0.98,1,68374
8-Aug-15,0,1,1,172746
9-Aug-15,1,0.87,1,113885
10-Aug-15,0,0.97,0,203184
11-Aug-15,0,0.97,0,70472
12-Aug-15,0,1,0,66564
13-Aug-15,0,1,0,79302
14-Aug-15,0,1,0,48386
15-Aug-15,0,0.98,0,110190
16-Aug-15,1,1,0,69496
17-Aug-15,0,0.96,0,80996
18-Aug-15,0,0.91,0,66887
19-Aug-15,0,1,0,152417
20-Aug-15,0,1,0,219999
21-Aug-15,0,0.78,0,74811
22-Aug-15,0,0.63,0,17461
23-Aug-15,1,0.25,0,62680
24-Aug-15,0,1,0,105535
25-Aug-15,0,1,0,182504
26-Aug-15,0,1,0,129484
27-Aug-15,0,1,0,87660
28-Aug-15,0,1,0,204889
29-Aug-15,0,1,1,185421
30-Aug-15,1,1,1,134326
31-Aug-15,0,1,1,107304
1-Sep-15,0,1,1,200226
2-Sep-15,0,1,1,108432
3-Sep-15,0,1,1,276701
4-Sep-15,0,1,1,398470
5-Sep-15,0,1,1,192004
6-Sep-15,1,0.73,1,282989
7-Sep-15,0,0.73,1,4925
8-Sep-15,0,0.53,1,52248
9-Sep-15,0,0,1,143
10-Sep-15,0,0,0,299
11-Sep-15,0,1,0,18155
12-Sep-15,0,1,0,171534
13-Sep-15,1,0,0,408
14-Sep-15,0,0,0,33
15-Sep-15,0,0,0,185
16-Sep-15,0,0.29,0,19553
17-Sep-15,0,0.97,0,99429
18-Sep-15,0,1,0,193011
19-Sep-15,0,0.77,0,159826
20-Sep-15,1,1,0,197527
21-Sep-15,0,0.65,0,62702
22-Sep-15,0,0.59,0,36837
23-Sep-15,0,1,0,62468
24-Sep-15,0,1,0,256430
25-Sep-15,0,1,0,69022
26-Sep-15,0,1,0,59224
27-Sep-15,1,1,0,97985
28-Sep-15,0,1,0,79214
29-Sep-15,0,1,1,51104
30-Sep-15,0,1,1,204185
1-Oct-15,0,1,1,255489
2-Oct-15,0,1,1,215247
3-Oct-15,0,1,1,267042
4-Oct-15,1,1,1,200919
5-Oct-15,0,0.96,1,152683
6-Oct-15,0,1,1,296552
7-Oct-15,0,1,1,300982
8-Oct-15,0,1,1,183267
9-Oct-15,0,1,1,89647
10-Oct-15,0,1,0,250333
11-Oct-15,1,1,0,187883
12-Oct-15,0,1,0,226856
13-Oct-15,0,1,0,191509
14-Oct-15,0,1,0,119621
15-Oct-15,0,1,0,164963
16-Oct-15,0,1,0,166462
17-Oct-15,0,1,0,172534
18-Oct-15,1,1,0,305229
19-Oct-15,0,1,0,88758
20-Oct-15,0,1,0,105878
21-Oct-15,0,1,0,116538
22-Oct-15,0,1,0,169946
23-Oct-15,0,1,0,178944
24-Oct-15,0,1,0,77828
25-Oct-15,1,1,0,221787
26-Oct-15,0,1,0,43608
27-Oct-15,0,0.88,0,66663
28-Oct-15,0,1,0,127185
29-Oct-15,0,1,1,113503
30-Oct-15,0,1,1,204530
31-Oct-15,0,1,1,233337
1-Nov-15,1,1,1,258333
2-Nov-15,0,1,1,282762
3-Nov-15,0,0.4,1,21700
4-Nov-15,0,0.97,1,178813
5-Nov-15,0,1,1,142054
6-Nov-15,0,1,1,148403
7-Nov-15,0,1,1,408021
8-Nov-15,1,1,1,247673
9-Nov-15,0,1,1,164626
10-Nov-15,0,1,0,269613
11-Nov-15,0,1,0,268753
12-Nov-15,0,0.85,0,261079
13-Nov-15,0,0,0,402
14-Nov-15,0,0.19,0,8440
15-Nov-15,1,0.88,0,1929
